Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,DiscountApplied
1,05-02-2010,1479321.81,0,42.31,2.572,211.0963582,8.106,True
1,12-02-2010,1477761.696,1,38.51,2.548,211.2421698,8.106,True
1,19-02-2010,1450771.353,0,39.93,2.514,211.2891429,8.106,True
1,26-02-2010,1268754.831,0,46.63,2.561,211.3196429,8.106,True
1,05-03-2010,1399326.0119999999,0,46.5,2.625,211.3501429,8.106,True
1,12-03-2010,1295587.431,0,57.79,2.667,211.3806429,8.106,True
1,19-03-2010,1325264.2110000001,0,54.58,2.72,211.215635,8.106,True
1,26-03-2010,1263986.928,0,51.45,2.732,211.0180424,8.106,True
1,02-04-2010,1435471.452,0,62.27,2.719,210.8204499,7.808,True
1,09-04-2010,1390876.6770000001,0,65.86,2.77,210.6228574,7.808,True
1,16-04-2010,1319452.452,0,66.32,2.808,210.4887,7.808,True
1,23-04-2010,1252130.5080000001,0,64.84,2.795,210.4391228,7.808,True
1,30-04-2010,1282590.639,0,67.41,2.78,210.3895456,7.808,True
1,07-05-2010,1443559.6080000002,0,72.55,2.835,210.3399684,7.808,True
1,14-05-2010,1344826.35,0,74.78,2.854,210.3374261,7.808,True
1,21-05-2010,1259695.8630000001,0,76.44,2.826,210.6170934,7.808,True
1,28-05-2010,1288862.955,0,80.44,2.759,210.8967606,7.808,True
1,04-06-2010,1453972.239,0,80.69,2.705,211.1764278,7.808,True
1,11-06-2010,1388304.9810000001,0,80.43,2.668,211.4560951,7.808,True
1,18-06-2010,1352955.654,0,84.11,2.637,211.4537719,7.808,True
1,25-06-2010,1280440.4400000002,0,84.34,2.653,211.3386526,7.808,True
1,02-07-2010,1343176.326,0,80.91,2.669,211.2235333,7.787,True
1,09-07-2010,1391466.7619999999,0,80.48,2.642,211.108414,7.787,True
1,16-07-2010,1304045.028,0,83.15,2.623,211.1003854,7.787,True
1,23-07-2010,1246558.68,0,83.36,2.608,211.2351443,7.787,True
1,30-07-2010,1234787.9400000002,0,81.84,2.64,211.3699032,7.787,True
1,06-08-2010,1444942.602,0,87.16,2.627,211.5046621,7.787,True
1,13-08-2010,1357413.984,0,87.0,2.692,211.6394211,7.787,True
1,20-08-2010,1361772.441,0,86.65,2.664,211.6033633,7.787,True
1,27-08-2010,1304228.628,0,85.22,2.619,211.5673056,7.787,True
1,03-09-2010,1386147.1770000001,0,81.21,2.577,211.5312479,7.787,True
1,10-09-2010,1356714.621,1,78.69,2.565,211.4951902,7.787,True
1,17-09-2010,1287340.803,0,82.11,2.582,211.5224596,7.787,True
1,24-09-2010,1216611.9270000001,0,80.94,2.624,211.5972246,7.787,True
1,01-10-2010,1307996.55,0,71.89,2.603,211.6719895,7.838,True
1,08-10-2010,1357415.937,0,63.93,2.633,211.7467544,7.838,True
1,15-10-2010,1313468.1900000002,0,67.18,2.72,211.8137436,7.838,True
1,22-10-2010,1210908.6,0,69.86,2.725,211.8612937,7.838,True
1,29-10-2010,1245788.298,0,69.64,2.716,211.9088438,7.838,True
1,05-11-2010,1396493.352,0,58.74,2.689,211.9563939,7.838,True
